"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 02 21:49:34 BRT 2024","Tue Apr 02 21:49:34 BRT 2024","309","Utilities","","","","","Cypress.$ - call a jQuery method",""
"passed","Tue Apr 02 21:48:41 BRT 2024","Tue Apr 02 21:48:41 BRT 2024","191","Cypress APIs","Cypress.Cookies","","","",".debug() - enable or disable debugging",""
"passed","Tue Apr 02 21:49:13 BRT 2024","Tue Apr 02 21:49:14 BRT 2024","187","Querying","","","","","cy.root() - query the root DOM element",""
"passed","Tue Apr 02 21:48:22 BRT 2024","Tue Apr 02 21:48:22 BRT 2024","110","Assertions","Explicit Assertions","","","","can throw any error",""
"passed","Tue Apr 02 21:48:11 BRT 2024","Tue Apr 02 21:48:11 BRT 2024","145","Actions","","","","",".trigger() - trigger an event on a DOM element",""
"passed","Tue Apr 02 21:49:07 BRT 2024","Tue Apr 02 21:49:07 BRT 2024","339","Network Requests","","","","","cy.request() with query parameters",""
"passed","Tue Apr 02 21:49:50 BRT 2024","Tue Apr 02 21:49:50 BRT 2024","606","Waiting","","","","","cy.wait() - wait for a specific route",""
"passed","Tue Apr 02 21:48:33 BRT 2024","Tue Apr 02 21:48:33 BRT 2024","101","Connectors",".then()","","","","yields the value yielded by the last Cypress command inside",""
"passed","Tue Apr 02 21:48:41 BRT 2024","Tue Apr 02 21:48:42 BRT 2024","241","Cypress APIs","Cypress.dom","","","",".isHidden() - determine if a DOM element is hidden",""
"passed","Tue Apr 02 21:48:42 BRT 2024","Tue Apr 02 21:48:42 BRT 2024","128","Cypress APIs","Cypress.platform","","","","Get underlying OS name",""
"passed","Tue Apr 02 21:48:46 BRT 2024","Tue Apr 02 21:48:46 BRT 2024","216","Files","","","","","cy.fixture() or require - load a fixture",""
"passed","Tue Apr 02 21:48:08 BRT 2024","Tue Apr 02 21:48:08 BRT 2024","283","Actions","","","","",".dblclick() - double click on a DOM element",""
"passed","Tue Apr 02 21:49:17 BRT 2024","Tue Apr 02 21:49:20 BRT 2024","2524","Spies, Stubs, and Clock","","","","","cy.spy() retries until assertions pass",""
"passed","Tue Apr 02 21:48:22 BRT 2024","Tue Apr 02 21:48:22 BRT 2024","110","Assertions","Explicit Assertions","","","","matches unknown text between two elements",""
"passed","Tue Apr 02 21:49:20 BRT 2024","Tue Apr 02 21:49:20 BRT 2024","198","Spies, Stubs, and Clock","","","","","cy.clock() - control time in the browser",""
"passed","Tue Apr 02 21:48:56 BRT 2024","Tue Apr 02 21:48:56 BRT 2024","270","Misc","","","","","cy.focused() - get the DOM element that has focus",""
"passed","Tue Apr 02 21:48:11 BRT 2024","Tue Apr 02 21:48:14 BRT 2024","2170","Actions","","","","","cy.scrollTo() - scroll the window or element to a position",""
